company,location,industry,total_laid_off,percentage_laid_off,date,stage,country,funds_raised_millions
Cerebral,SF Bay Area,Healthcare,,,2022-05-31,Series C,United States,462
Capillary,Bengaluru,Retail,,,2020-04-02,Private Equity,India,102
Shift,SF Bay Area,Transportation,,,2022-08-09,Post-IPO,United States,504
Viamo,Accra,Other,,,2022-08-31,Unknown,Ghana,
Addi,Bogota,Finance,,,2022-06-14,Series C,Colombia,376
Trivago,Dusseldorf,Travel,,,2020-05-04,Acquired,Germany,55
iFit,Logan,Fitness,,,2021-12-08,Private Equity,United States,200
iFit,Logan,Fitness,,,2022-02-25,Private Equity,United States,200
Igenous,Seattle,Data,,,2020-11-17,Series C,United States,67
Secfi,SF Bay Area,Finance,,,2022-06-30,Series A,United States,7
FuboTV,New York City,Media,,,2022-08-02,Post-IPO,United States,151
100 Thieves,Los Angeles,Retail,,,2023-01-10,Series C,United States,120
SoFi,SF Bay Area,Finance,,,2023-01-30,Post-IPO,United States,3000
Spaceship,Sydney,Finance,,,2023-01-19,Series A,Australia,41
Mural,SF Bay Area,Product,,,2022-07-21,Series C,United States,192
Practically,Hyderabad,Education,,,2022-11-06,Unknown,India,14
CommentSold,Huntsville,Retail,,,2022-06-29,Unknown,United States,
Motif Foodworks,Boston,Food,,,2022-07-06,Series B,United States,344
Xiaomi,Beijing,Consumer,,,2022-12-19,Post-IPO,United States,7400
N-able Technologies,Raleigh,Other,,,2022-12-09,Post-IPO,United States,225
DJI,Shenzen,Consumer,,,2020-08-17,Unknown,China,105
Digimarc,Portland,Other,,,2023-02-17,Post-IPO,United States,105
Zomato,Jakarta,Food,,,2020-10-20,Series J,Indonesia,914
ExtraHop,Seattle,Security,,,2022-10-13,Series C,United States,61
ExtraHop,Seattle,Security,,,2020-04-22,Series C,United States,61
Automox,Boulder,Infrastructure,,,2022-06-13,Series C,United States,152
Thrasio,Boston,Retail,,,2022-05-02,Unknown,United States,3400
Sea,Singapore,Consumer,,,2022-09-02,Post-IPO,Singapore,8600
CareRev,Los Angeles,Retail,,,2023-01-25,Series A,United States,51
DreamBox Learning,Seattle,Education,,,2022-09-09,Acquired,United States,175
TikTok,Los Angeles,Consumer,,,2023-01-20,Acquired,United States,
TikTok,Los Angeles,Consumer,,,2022-07-18,Acquired,United States,
Side,SF Bay Area,Real Estate,,,2022-10-19,Unknown,United States,313
Medium,SF Bay Area,Media,,,2021-03-24,Series C,United States,132
Wizeline,SF Bay Area,Product,,,2022-07-22,Acquired,United States,62
Morning Consult,Washington D.C.,Data,,,2023-01-20,Series B,United States,91
Arete,Miami,Security,,,2022-07-22,Unknown,United States,
RedDoorz,Singapore,Travel,,,2020-04-14,Series C,Singapore,134
Compass,New York City,Real Estate,,,2023-01-05,Post-IPO,United States,1600
MissFresh,Beijing,Food,,,2022-07-29,Post-IPO,China,1700
Apeel Sciences,Santa Barbara,Food,,,2022-07-11,Series E,United States,640
Zest AI,Los Angeles,Finance,,,2020-04-09,Unknown,United States,217
Reserve,SF Bay Area,Crypto,,,2023-02-17,Unknown,United States,
Scoop,SF Bay Area,Transportation,,,2020-11-17,Series C,United States,95
DayTwo,SF Bay Area,Healthcare,,,2022-09-15,Series B,United States,90
LetsGetChecked,New York City,Healthcare,,,2022-07-02,Series D,United States,263
Century Therapeutics,Philadelphia,Healthcare,,,2023-01-09,Post-IPO,United States,560
TheWrap,Los Angeles,Media,,,2020-09-29,Series B,United States,3.5
View,SF Bay Area,Energy,,,2020-04-15,Series H,United States,1800
Utopia Music,Zug,Media,,,2022-11-24,Series B,Switzerland,
Owlet,Lehi,Healthcare,,,2022-07-22,Post-IPO,United States,178
Rappi,Buenos Aires,Food,,,2023-01-17,Unknown,Argentina,2300
TechAdvance,Lagos,Finance,,,2020-04-08,Unknown,Nigeria,1
GoCanvas,Washington D.C.,Other,,,2023-01-13,Acquired,United States,21
Megaport,Brisbane,Infrastructure,,,2023-01-05,Post-IPO,Australia,98
Reforge,SF Bay Area,Education,,,2022-11-10,Series B,United States,81
DJI,SF Bay Area,Consumer,,,2021-02-24,Unknown,United States,105
Realtor.com,SF Bay Area,Real Estate,,,2022-09-08,Acquired,United States,
Mark43,New York City,Other,,,2022-06-23,Series E,United States,229
Oatly,Malmö,Food,,,2022-11-15,Post-IPO,Sweden,441
Singular,SF Bay Area,Marketing,,,2020-04-23,Series B,United States,50
Collibra,Brussels,Data,,,2022-10-19,Series G,Belgium,596
Sprinklr,New York City,Support,,,2020-06-25,Series F,United States,228
OnDeck,New York City,Finance,,,2020-07-08,Post-IPO,United States,1200
Avalara,Seattle,Finance,,,2023-01-20,Acquired,United States,341
Xsight Labs,Tel Aviv,Other,,,2022-09-07,Series D,Israel,100
Cloudera,SF Bay Area,Infrastructure,,,2020-05-05,Post-IPO,United States,1000
